Transfer Number,Transfer Date,Vendor Name,Vendor Address,Vendor Phone,Vendor Fax,Transferred To,Destination Address,Destination Phone,Destination Email,Req Ship Date,Delivery Method,Shipment Terms,Freight Carrier,Weight,Invoice Number,Serial Num,Barcode,Bundle,Block,Slab Number,Description,Quantity,Quantity SF,Quantity Slabs,Item Code,Item Name,Bin,Unit Price,Total Price
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11333-1,ES9182057,5/11333,D-10,"138"" X 79"" = 75.71",Calacatta Umi MQ 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11333-2,ES9182058,5/11333,D-10,"138"" X 79"" = 75.71",Calacatta Umi MQ 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11333-3,ES9182059,5/11333,D-10,"138"" X 79"" = 75.71",Calacatta Umi MQ 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11333-4,ES9182060,5/11333,D-10,"138"" X 79"" = 75.71",Calacatta Umi MQ 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11333-5,ES9182061,5/11333,D-10,"138"" X 79"" = 75.71",Calacatta Umi MQ 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11333-6,ES9182062,5/11333,D-10,"138"" X 79"" = 75.71",Calacatta Umi MQ 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11333-7,ES9182063,5/11333,D-10,"138"" X 79"" = 75.71",Calacatta Umi MQ 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11333-8,ES9182072,6/11333,D-10,"138"" X 79"" = 75.71",Calacatta Umi MQ 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11333-9,ES9182073,6/11333,D-10,"138"" X 79"" = 75.71",Calacatta Umi MQ 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
15782,12/4/2025,Easy Stones - Richmond,"11990 N Lakeridge PkwyAshland, VA 23005",804 438 1001,804 438 1003,Easy Stones - Dallas,"11550 Newberry St Suite 100Dallas, TX 75229",469-799-2512,babu@easystones.com,"Dec 04, 2025",Delivery,Ex-Warehouse,- Hanuman Nandanampati,0 LBS,,11333-10,ES9182074,6/11333,D-10,"138"" X 79"" = 75.71",Calacatta Umi MQ 3CM,"138"" X 79"" = 75.71",75.71,1,,,,,
